"Timestamp","Are you planning to cast your vote in the presidential election 2019?","In your opinion, which party is more likely to win this presidential election?","As of now to whom you will cast your vote in the presidential election? ","Are you influenced by the public opinion regarding the presidential candidates","What is the main electoral issue you have considered when you are deciding to whom is your vote is?","Is this the first presidential election you are going to cast your vote?","If No, would you like to share about to whom you voted in the last election?","If yes to whom you have voted?","Gender","How old are you?","Which religion do you follow?","Your ethnicity?","What is the highest educational qualification you have obtained?","District","Electoral Division","What is your current employment status?","Monthly Income (Individual )","How do you feel  about this survey",""
"2019/10/15 5:01:19 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Cost of living;Progress of the country;Lack of development;Religious issues;Foreign intervention","No","Yes","Maithripala Sirisena","Male","26","Buddhism","Sinhala","Postgraduate / Professional","","Kelaniya","Private sector employee","","Good","Gampaha"
"2019/10/26 8:21:30 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","To give chance to a new person","No","Yes","Maithripala Sirisena","Female","61","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Jaffna","Housewife","No Income","Good",""
"2019/10/26 8:23:57 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country","No","Yes","Maithripala Sirisena","Female","27","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Jaffna","Jaffna","Government employee","30000-49999 LKR","Good",""
"2019/10/26 8:26:09 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Freedom","No","Yes","Maithripala Sirisena","Female","61","Christianity","Sri Lankan Tamil","G.C.E Advance Level","Jaffna","Jaffna","Self-employed/Business","30000-49999 LKR","Good",""
"2019/10/26 8:47:18 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Anura Kumara Dissanayake (NPP)","Yes","Development Of the Country;Religious issues","No","Yes","Maithripala Sirisena","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","","","Private sector employee","100000-200000 LKR","Annoyed",""
"2019/10/26 8:58:47 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Economic freedom","No","Yes","Mahinda Rajapaksa","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","","","Do not want to share","Don't like to Share","Good",""
"2019/10/26 8:59:24 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Male","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Mahara","Private sector employee","50000-99999 LKR","Annoyed",""
"2019/10/26 8:59:25 AM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Unp support","No","Yes","Maithripala Sirisena","Male","44","Christianity","Sri Lankan Tamil","G.C.E Ordinary Level","Jaffna","Jaffna","Self-employed/Business","50000-99999 LKR","Good",""
"2019/10/26 9:00:55 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Economic freedom;Freedom","No","Yes","Mahinda Rajapaksa","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Puttalm","Wennappuwa","Private sector employee","15000-29900 LKR","Good",""
"2019/10/26 9:01:17 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities","No","Yes","Maithripala Sirisena","Female","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kandy","","Private sector employee","","Annoyed",""
"2019/10/26 9:10:10 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","No Answer","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Economic freedom;Pollution","No","No","Not Applicable","Male","28","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Not willing to share.","Private sector employee","100000-200000 LKR","Not annoyed but asking too many sensitive information directly is not good. Which party you are going to vote? Seriously ?",""
"2019/10/26 9:10:30 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Religious issues;Foreign intervention;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Female","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","","Private sector employee","50000-99999 LKR","Good",""
"2019/10/26 9:12:14 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","Development Of the Country","No","Yes","Maithripala Sirisena","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","","Private sector employee","Above 200000 LKR","Good",""
"2019/10/26 9:18:49 AM GMT+5:30","Yes","No Answer","Unknown","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","","Private sector employee","100000-200000 LKR","Good",""
"2019/10/26 9:33:30 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Anura Kumara Dissanayake (NPP)","No","National Security;Development Of the Country;Foreign intervention;Pollution;Freedom","No","Yes","Maithripala Sirisena","Male","37","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Matara","Private sector employee","50000-99999 LKR","Good",""
"2019/10/26 9:42:23 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Cost of Living;Ethnic issues;Foreign intervention;Economic freedom;Freedom","No","Yes","Maithripala Sirisena","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kurunegala","Wariyapola","Private sector employee","100000-200000 LKR","Good",""
"2019/10/26 10:10:32 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Female","28","Christianity","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Gampaha","Private sector employee","50000-99999 LKR","Good",""
"2019/10/26 11:56:20 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Mahinda Rajapaksa","Female","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Kaburupitiya","Private sector employee","30000-49999 LKR","Good",""
"2019/10/26 12:04:26 PM GMT+5:30","No","Sri Lanka Podujana Peramuna(SLPP)","To another candidate","No","National Security;Development Of the Country;Cost of Living;Ethnic issues;Foreign intervention;Pollution","No","Yes","Maithripala Sirisena","Male","29","Christianity","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Ja-ela ","Private sector employee","100000-200000 LKR","Annoyed",""
"2019/10/26 12:05:08 PM GMT+5:30","Yes","","Anura Kumara Dissanayake (NPP)","No Idea","National Security;Development Of the Country","","","","","","","","","","","","","",""
"2019/10/26 12:06:13 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country;Employment Opportunities;Religious issues;Pollution","No","Yes","Mahinda Rajapaksa","Male","24","Buddhism","Sinhala","G.C.E Advance Level","Matara","Kamburupitiya","Student","No Income","Good",""
"2019/10/26 12:15:05 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No Idea","Employment Opportunities","No","Yes","Maithripala Sirisena","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kurunegala","Kurunegala","Private sector employee","50000-99999 LKR","Good",""
"2019/10/26 12:36:35 PM GMT+5:30","Yes","No Answer","No Answer","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","No","Not Applicable","Female","30","Christianity","Sinhala","Graduate/Postgraduate / Professional","Gampaha","Mahara","Private sector employee","50000-99999 LKR","Good",""
"2019/10/26 1:20:50 PM GMT+5:30","No","Sri Lanka Freedom Party(SLFP)","Anura Kumara Dissanayake (NPP)","No Idea","National Security;Development Of the Country;Foreign intervention","No","Not Applicable","","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Akmeemana","Do not want to share","30000-49999 LKR","Good",""
"2019/10/26 2:39:39 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Employment Opportunities","No","Yes","Mahinda Rajapaksa","Female","28","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Hakmana","Government employee","30000-49999 LKR","Good",""
"2019/10/26 7:48:48 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security","Yes","","Not Applicable","Female","23","Buddhism","Sinhala","Vocational Education","Matale","palapathwela","Student","5000 -14999 LKR","Good",""
"2019/10/26 8:15:09 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","No","Development Of the Country;Employment Opportunities;Cost of Living;Freedom","No","Yes","Maithripala Sirisena","Male","41","Christianity","Sri Lankan Tamil","Graduate/Postgraduate / Professional","Vavuniya","Vavuniya","Government employee","50000-99999 LKR","Good",""
"2019/10/26 8:25:25 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","He is genuine","No","Not Applicable","Not Applicable","Male","55","Buddhism","Sinhala","G.C.E Advance Level","Colombo","Colombo","Private sector employee","30000-49999 LKR","Good",""
"2019/10/27 12:26:13 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","No Answer","Yes","National Security;Development Of the Country;Foreign intervention;Better and safer future for the next generation ","No","Yes","Maithripala Sirisena","Female","32","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Marata","Private sector employee","100000-200000 LKR","Good",""
"2019/10/27 1:40:34 PM GMT+5:30","No","Sri Lanka Podujana Peramuna(SLPP)","No Answer","No","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","Yes","Maithripala Sirisena","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Colombo","Kasbawa","Private sector employee","Above 200000 LKR","Good",""
"2019/10/27 9:17:37 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Economic freedom","No","Yes","Maithripala Sirisena","Male","31","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","","Private sector employee","15000-29900 LKR","Good",""
"2019/10/27 9:58:07 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","No","Development Of the Country","No","Yes","Mahinda Rajapaksa","Male","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kurunegala","Yapawwa","Private sector employee","50000-99999 LKR","Good",""
"2019/10/27 10:04:35 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Anura Kumara Dissanayake (NPP)","No","Development Of the Country","No","Yes","Maithripala Sirisena","Female","30","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kurunegala","Yapahuwa","Private sector employee","50000-99999 LKR","Good",""
"2019/10/27 10:48:54 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","Cost of Living","No","Yes","Maithripala Sirisena","Female","34","Buddhism","Sinhala","G.C.E Advance Level","Matara","Deniyaya","Self-employed/Business","15000-29900 LKR","Good",""
"2019/10/27 10:57:57 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","","","No","Yes","Maithripala Sirisena","Male","53","Buddhism","Sinhala","Secondary Education (Grade 6 to 9 )","Rathnapura","Rathnapura","Self-employed/Business","100000-200000 LKR","",""
"2019/10/27 11:04:47 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","","National Security;Cost of Living","No","Yes","Maithripala Sirisena","Male","43","Buddhism","Sinhala","G.C.E Ordinary Level","Matara","Deniyaya","Private sector employee","30000-49999 LKR","Good",""
"2019/10/28 7:08:46 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country;Employment Opportunities","No","Yes","Mahinda Rajapaksa","Male","","Buddhism","Sinhala","Graduate/Postgraduate / Professional","","","Private sector employee","100000-200000 LKR","Good",""
"2019/10/28 11:35:16 AM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom","No","No","Other","Male","29","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matale","Dambulla","Private sector employee","100000-200000 LKR","Annoyed",""
"2019/10/28 9:30:38 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","Freedom","No","No","Mahinda Rajapaksa","Male","28","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Rathgama","Private sector employee","50000-99999 LKR","Good",""
"2019/10/28 9:36:20 PM GMT+5:30","Yes","The National People's Power (NPP)","Sajith Premadasa (UNP)","Yes","National Security","Yes","Yes","Maithripala Sirisena","Male","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Deniyaye ","Student","5000 -14999 LKR","Good",""
"2019/10/28 9:42:28 PM GMT+5:30","Yes","No Answer","No Answer","No","National Security","No","Yes","Mahinda Rajapaksa","Female","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Akmeemana","Private sector employee","50000-99999 LKR","Good",""
"2019/10/28 9:50:27 PM GMT+5:30","Yes","Other","Gen. Mahesh Senanayake","Yes","Development Of the Country","Yes","Not Applicable","Not Applicable","Male","22","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Agalawatta","Student","No Income","Good",""
"2019/10/28 9:50:31 PM GMT+5:30","Yes","United National Party (UNP)","Sajith Premadasa (UNP)","Yes","Cost of Living","Yes","Yes","Maithripala Sirisena","Male","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Kalutara","Agalawathta","Private sector employee","50000-99999 LKR","Good",""
"2019/10/28 9:51:07 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gen. Mahesh Senanayake","No","National Security;Development Of the Country;Employment Opportunities;Pollution","Yes","Not Applicable","Not Applicable","Male","23","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Galle","Private sector employee","15000-29900 LKR","Good",""
"2019/10/28 9:52:51 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","Yes","Economic freedom","No","Yes","Maithripala Sirisena","Male","24","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Akuressa ","Private sector employee","15000-29900 LKR","Good",""
"2019/10/28 9:54:44 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security","Yes","Yes","Mahinda Rajapaksa","Female","23","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Galle ","Private sector employee","5000 -14999 LKR","Good",""
"2019/10/28 9:56:28 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gen. Mahesh Senanayake","Yes","National Security","No","No","Mahinda Rajapaksa","Male","23","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","","Student","No Income","Good",""
"2019/10/28 9:57:14 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Foreign intervention;Economic freedom","Yes","No","Not Applicable","Male","23","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","","Self-employed/Business","No Income","Annoyed",""
"2019/10/28 9:58:24 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country;Employment Opportunities","No","Not Applicable","Not Applicable","Male","25","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Deniyaya","Private sector employee","Don't like to Share","Good",""
"2019/10/28 9:58:37 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","Yes","National Security;Development Of the Country;Freedom","No","Yes","Mahinda Rajapaksa","Male","23","Buddhism","Sinhala","G.C.E Advance Level","Galle","","","15000-29900 LKR","Annoyed",""
"2019/10/28 9:59:32 PM GMT+5:30","Yes","The National People's Power (NPP)","Anura Kumara Dissanayake (NPP)","Yes","Development Of the Country","No","Yes","Maithripala Sirisena","Female","24","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","Hiniduma","Government employee","15000-29900 LKR","Annoyed",""
"2019/10/28 10:02:49 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No Idea","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Religious issues;Foreign intervention;Economic freedom;Pollution;Freedom;Education ","Yes","","","Female","24","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Deniyaya","Student","30000-49999 LKR","Good",""
"2019/10/28 10:03:58 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security;Development Of the Country;Cost of Living;Religious issues;Foreign intervention;Pollution","Yes","","","Male","22","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Galle","","Private sector employee","50000-99999 LKR","Good",""
"2019/10/28 10:04:16 PM GMT+5:30","Yes","Other","To another candidate","No Idea","Freedom","No","No","Other","Female","24","Buddhism","Sinhala","No Answer","Galle","Galle","Student","No Income","Good",""
"2019/10/28 10:05:34 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","","National Security;Development Of the Country;Employment Opportunities;Cost of Living;Ethnic issues;Foreign intervention","Yes","","","Male","27","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Matara","Akuressa ","Government employee","Don't like to Share","Good",""
"2019/10/28 10:11:54 PM GMT+5:30","Yes","Sri Lanka Podujana Peramuna(SLPP)","Gotabhaya Rajapaksa (SLPP)","No","National Security","No","Yes","Mahinda Rajapaksa","Female","26","Buddhism","Sinhala","Graduate/Postgraduate / Professional","Rathnapura","Rakwana ","Private sector employee","15000-29900 LKR","Good",""
